sigma,gain,specification,moment,mean,monte_carlo_se,mean_ci_low,mean_ci_high,paired_difference_from_re,paired_ci_low,paired_ci_high,paired_draws,rms_path_distance_from_re
2,0.04,archive,rho_wage_fe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
2,0.04,wage_proxy,sigma_y,1.93867334010776,0.00437238374279584,1.93010346797188,1.94724321224364,1.03368614009319,1.02717525436004,1.04007691152337,5000,2.33291894965757
2,0.04,wage_proxy,sigma_c_over_y,0.490371491230271,0.000379333319369497,0.489627997924307,0.491114984536236,-0.341315445729946,-0.342051650423429,-0.340551320983457,5000,2.33291894965757
2,0.04,wage_proxy,sigma_i_over_y,2.56538744115837,0.00133374523331404,2.56277330050107,2.56800158181567,1.06927915029287,1.06659276930008,1.07185619639452,5000,2.33291894965757
2,0.04,wage_proxy,sigma_h_over_y,0.969824411160288,0.000836779928690454,0.968184322500054,0.971464499820521,0.662937197438092,0.66124603722667,0.664555468713244,5000,2.33291894965757
2,0.04,wage_proxy,rho_dc,0.0380862162566783,0.00112510883834213,0.0358810029335277,0.0402914295798289,0.028176632788384,0.0279759083495269,0.0283790070191565,5000,2.33291894965757
2,0.04,wage_proxy,rho_dy,0.00318767351486698,0.00105314343206869,0.00112351238801235,0.00525183464172161,0.00193014156351752,0.00122022310566205,0.00267755093305456,5000,2.33291894965757
2,0.04,wage_proxy,rho_di,0.00379300190788351,0.00106332895246122,0.00170887716105953,0.0058771266547075,0.0132614025264074,0.0124747034043864,0.0140798696868831,5000,2.33291894965757
2,0.04,wage_proxy,rho_wage_fe,0.0600854750141005,0.00103856377463887,0.0580498900158083,0.0621210600123927,0.0650352366255077,0.0640726668632074,0.0660515564284076,5000,2.33291894965757
2,0.04,paper,sigma_y,0.900441717069168,0.0014941697643278,0.897513144331086,0.903370289807251,-0.00454548294539708,-0.00510823857806253,-0.00395014594755348,5000,0.123163145456269
